 time, start,  dur,        perc,  X,    
 4075, 383584, 002127,  0.851, _,    
 4075, 386077, 002098,  0.839, _,    
 4075, 388573, 002090,  0.836, _,    
 4075, 391075, 002088,  0.835, _,    
 4075, 393574, 002086,  0.834, _,    
 4075, 396073, 002090,  0.836, _,    
 4075, 398574, 002089,  0.836, _,    
 4075, 401073, 002090,  0.836, _,    
 4075, 403574, 002087,  0.835, _,    
 4075, 406073, 002088,  0.835, _,    
 4075, 408573, 002090,  0.836, _,    
 4075, 411075, 002090,  0.836, _,    
 4075, 413573, 002088,  0.835, _,    
 4075, 416073, 002088,  0.835, _,    
 4075, 418573, 002091,  0.836, _,    
 4075, 421073, 002089,  0.836, _,    
 4075, 423574, 002088,  0.835, _,    
 4075, 426072, 002088,  0.835, _,    
 4075, 428573, 002087,  0.835, _,    
 4075, 431073, 002088,  0.835, _,    
 4075, 433574, 002087,  0.835, _,    
 4075, 436072, 002088,  0.835, _,    
 4075, 438573, 002087,  0.835, _,    
 4075, 441073, 002088,  0.835, _,    
 4075, 443573, 002088,  0.835, _,    
 4075, 446072, 002088,  0.835, _,    
 4075, 448574, 002087,  0.835, _,    
 4075, 451073, 002088,  0.835, _,    
 4075, 453574, 002088,  0.835, _,    
 4075, 456073, 002088,  0.835, _,    
 4075, 458573, 002091,  0.836, _,    
 4075, 461074, 002090,  0.836, _,    
 4075, 463573, 002089,  0.836, _,    
 4075, 466073, 002088,  0.835, _,    
 4075, 468574, 002087,  0.835, _,    
 4075, 471073, 002087,  0.835, _,    
 4075, 473574, 002088,  0.835, _,    
 4075, 476072, 002087,  0.835, _,    
 4075, 478576, 002087,  0.835, _,    
 4075, 481073, 002088,  0.835, _,    
 4075, 483574, 002087,  0.835, _,    
 4075, 486072, 002087,  0.835, _,    
 4075, 488573, 002087,  0.835, _,    
 4075, 491073, 002087,  0.835, _,    
 4075, 493574, 002087,  0.835, _,    
 4075, 496072, 002089,  0.836, _,    
 4075, 498573, 002089,  0.836, _,    
 4075, 501073, 002087,  0.835, _,    
 4075, 503574, 002087,  0.835, _,    
 4075, 506073, 002088,  0.835, _,    
 4075, 508573, 002089,  0.836, _,    
 4075, 511073, 002090,  0.836, _,    
 4075, 513573, 002089,  0.836, _,    
 4075, 516074, 002088,  0.835, _,    
 4075, 518573, 002088,  0.835, _,    
 4075, 521074, 002088,  0.835, _,    
 4075, 523574, 002087,  0.835, _,    
 4075, 526073, 002087,  0.835, _,    
 4075, 528573, 002088,  0.835, _,    
 4075, 531073, 002088,  0.835, _,    
 4075, 533574, 002089,  0.836, _,    
 4075, 536073, 002087,  0.835, _,    
 4075, 538574, 002087,  0.835, _,    
 4075, 541073, 002088,  0.835, _,    
 4075, 543574, 002088,  0.835, _,    
 4075, 546072, 002088,  0.835, _,    
 4075, 548573, 002087,  0.835, _,    
 4075, 551073, 002089,  0.836, _,    
 4075, 553573, 002088,  0.835, _,    
 4075, 556073, 002086,  0.834, _,    
 4075, 558573, 002088,  0.835, _,    
 4075, 561074, 002090,  0.836, _,    
 4075, 563573, 002089,  0.836, _,    
 4075, 566074, 002087,  0.835, _,    
 4075, 568573, 002088,  0.835, _,    
 4075, 571073, 002088,  0.835, _,    
 4075, 573574, 002088,  0.835, _,    
 4075, 576073, 002088,  0.835, _,    
 4075, 578573, 002088,  0.835, _,    
 4075, 581073, 002089,  0.836, _,    
 4075, 583574, 002087,  0.835, _,    
 4075, 586073, 002087,  0.835, _,    
 4075, 588573, 002087,  0.835, _,    
 4075, 591074, 002089,  0.836, _,    
 4075, 593573, 002088,  0.835, _,    
 4075, 596073, 002088,  0.835, _,    
 4075, 598573, 002088,  0.835, _,    
 4075, 601073, 002088,  0.835, _,    
 4075, 603574, 002087,  0.835, _,    
 4075, 606073, 002087,  0.835, _,    
 4075, 608573, 002089,  0.836, _,    
 4075, 611073, 002090,  0.836, _,    
 4075, 613573, 002088,  0.835, _,    
 4075, 616074, 002088,  0.835, _,    
 4075, 618573, 002088,  0.835, _,    
 4075, 621073, 002087,  0.835, _,    
 4075, 623574, 002087,  0.835, _,    
 4075, 626072, 002088,  0.835, _,    
 4075, 628573, 002088,  0.835, _,    
 4075, 631073, 002088,  0.835, _,    
 4075, 633573, 002087,  0.835, _,    
 4075, 636073, 002087,  0.835, _,    
 4075, 638573, 002087,  0.835, _,    
 4075, 641072, 002088,  0.835, _,    
 4075, 643574, 002087,  0.835, _,    
 4075, 646073, 002090,  0.836, _,    
 4075, 648573, 002088,  0.835, _,    
 4075, 651079, 002112,  0.845, _,    
 4075, 653575, 002092,  0.837, _,    
 4075, 656073, 002088,  0.835, _,    
 4075, 658573, 002091,  0.836, _,    
 4075, 661074, 002091,  0.836, _,    
 4075, 663574, 002090,  0.836, _,    
 4075, 666073, 002090,  0.836, _,    
 4075, 668573, 002090,  0.836, _,    
 4075, 671073, 002089,  0.836, _,    
 4075, 673574, 002086,  0.834, _,    
 4075, 676073, 002088,  0.835, _,    
 4075, 678573, 002088,  0.835, _,    
 4075, 681073, 002088,  0.835, _,    
 4075, 683574, 002087,  0.835, _,    
 4075, 686072, 002088,  0.835, _,    
 4075, 688573, 002087,  0.835, _,    
 4075, 691073, 002087,  0.835, _,    
 4075, 693573, 002088,  0.835, _,    
 4075, 696073, 002087,  0.835, _,    
 4075, 698573, 002087,  0.835, _,    
 4075, 701073, 002088,  0.835, _,    
 4075, 703577, 002087,  0.835, _,    
 4075, 706073, 002087,  0.835, _,    
 4075, 708573, 002088,  0.835, _,    
 4075, 711073, 002088,  0.835, _,    
 4075, 713573, 002088,  0.835, _,    
